id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
103;ingresoefectivonotraslados;ingresoefectivonotraslados;21;I;1;NA;N;NA;NA;M;N;NA
104;ingresoefectivoosolotraslados;ingresoefectivoosolotraslados;21;I;1;NA;S;NA;NA;M;N;NA
105;ingresotarjetaventa;ingresotarjetaventa;21;I;2;NA;N;NA;NA;M;N;NA
106;ingresotarjetanotraslados;ingresotarjetanotraslados;21;I;2;NA;S;NA;NA;M;N;NA
107;ingresotarjetaosolotraslados;ingresotarjetaosolotraslados;201;I;3;NA;NA;NA;NA;M;N;NA
108;ingresochequeventa;ingresochequeventa;21;I;3;NA;NA;NA;NA;M;N;NA
109;ingresochequenotraslados;ingresochequenotraslados;21;I;3;NA;N;NA;NA;M;N;NA
110;ingresochequeosolotraslados;ingresochequeosolotraslados;21;I;3;NA;S;NA;NA;M;N;NA
111;ingresocreditoventa;ingresocreditoventa;21;I;4;NA;NA;NA;NA;M;N;NA
112;ingresocreditonotraslados;ingresocreditonotraslados;21;I;4;NA;N;NA;NA;M;N;NA
113;ingresocreditosolotraslados;ingresocreditosolotraslados;21;I;4;NA;S;NA;NA;M;N;NA
114;ingresovaleventa;ingresovaleventa;21;I;5;NA;NA;NA;NA;M;N;NA
115;ingresovalenotraslados;ingresovalenotraslados;21;I;5;NA;N;NA;NA;M;N;NA
116;ingresovalesolotraslados;ingresovalesolotraslados;21;I;5;NA;S;NA;NA;M;N;NA
117;ingresomonederoventa;ingresomonederoventa;21;I;14;NA;NA;NA;NA;M;N;NA
118;ingresomonederonotraslados;ingresomonederonotraslados;21;I;14;NA;N;NA;NA;M;N;NA
119;ingresomonederosolotraslados;ingresomonederosolotraslados;21;I;14;NA;S;NA;NA;M;N;NA
120;ingresotransferenciaventa;ingresotransferenciaventa;21;I;15;NA;NA;NA;NA;M;N;NA
121;ingresotransferencianotraslados;ingresotransferencianotraslados;21;I;15;NA;N;NA;NA;M;N;NA
122;ingresotransferenciasolotraslados;ingresotransferenciasolotraslados;21;I;15;NA;S;NA;NA;M;N;NA
